İstem (Prompt) mühendisliğinin temel amacı nedir?,"Yapay zekâ ile etkileşimi tahminden çıkarıp, tekrarlanabilir bir mühendislik disiplinine dönüştürmektir."
İstem mühendisliğindeki 'Temel Denklem' nedir?,Girdi = Çıktı.
TÜBİTAK'a göre yapay zekâdan en verimli çıktıyı almak için ne yapılması gerekir?,Komut ve yönlendirmelerin bilinçli şekilde tasarlanması gerekir.
Bir istemin anatomisinde 'Sistem Talimatları' (System Instructions) neyi belirler?,"Modelin benimseyeceği rolü, stili ve tonu belirler."
İstem bileşenlerinden hangisi modelin referans alacağı arka plan bilgisini sunar?,Bağlam (Contextual Info).
İstemde 'Görev' (Task) bileşeninin tanımı nedir?,Modelden beklenen temel işlem veya sorudur.
İstenen formatı gösteren doğru cevap şablonlarına ne ad verilir?,Örnekler (Few-shot Examples).
İteratif İyileştirme Döngüsü'nün ilk adımı nedir?,İhtiyacı Belirle (İstenen çıktıyı açıkça tanımla).
İteratif İyileştirme Döngüsü'nde komutun açık ve spesifik yazıldığı aşama hangisidir?,Yapılandır (3. Adım).
C.R.A.F.T. formülündeki 'C' harfi neyi temsil eder?,"Context (Bağlam): Rol, hedef kitle ve ton."
C.R.A.F.T. formülündeki 'R' harfi (Request) neyi ifade eder?,Ulaşılması gereken spesifik hedefi ifade eder.
C.R.A.F.T. formülünde adım adım talimatların yer aldığı bölüm hangisidir?,Actions (Eylemler).
C.R.A.F.T. formülündeki 'F' (Frame) bileşeninin görevi nedir?,Nelerin dışarıda bırakılacağını (sınırları) belirlemektir.
C.R.A.F.T. formülündeki 'T' (Template) neyi tanımlar?,Çıktının formatını (örneğin tablo veya liste) tanımlar.
LLM'lere bir rol (persona) vermek neden halüsinasyon oranını düşürür?,"Rol ve bağlam kombinasyonu, modelin eğitim verisindeki ilgili ve doğru bilgilere odaklanmasını sağlar."
Kalite Kontrol için kullanılan C.L.E.A.R. listesindeki 'Concise' ne anlama gelir?,"İstemin gereksiz kelimelerden arındırılmış, kısa ve öz olmasıdır."
C.L.E.A.R. listesinde 'Explicit' (Açık) kriteri neyi test eder?,Çıktı yönlendirmelerinin netliğini test eder (Örn: '50 kelimeyi geçme').
C.L.E.A.R. listesindeki 'Reflective' (Düşündürücü) kriterinin odağı nedir?,Cevabın mantıklı olup olmadığı ve halüsinasyon içerip içermediğidir.
Sentez Matrisi'ne göre CRAFT hangi aşamaya odaklanır?,Üretim (Creation) aşamasına odaklanır.
Sentez Matrisi'ne göre CLEAR listesinin temel amacı nedir?,"Çıktıyı denetlemek, mantıksal hataları bulmak ve komutu rafine etmektir."
İstem Olgunluk Eğrisi'nde (Maturity Curve) en düşük çaba gerektiren yöntem hangisidir?,Doğrudan Komut (Zero-Shot).
Düşünce Zinciri (Chain of Thought) tekniğinin ana avantajı nedir?,Matematiksel veya analitik hataları sıfıra indirerek karmaşık mantık yürütmeyi sağlamasıdır.
Hiçbir örnek vermeden doğrudan görev tanımı yapmaya ne ad verilir?,Zero-Shot Prompting.
Modele birkaç örnek vererek istenen formatı ve tonu öğretme tekniği nedir?,Few-Shot Prompting.
