Boyut düşürmede 'Özellik Seçme' (Feature Selection) ile 'Özellik Çıkarma' arasındaki temel fark nedir?,"Özellik seçme orijinal değişkenlerin bir alt kümesini korurken, özellik çıkarma veriyi yeni yapay bileşenlere dönüştürür."
Yüksek boyutlu veriyi 2D veya 3D uzayda görselleştirmek için en sık tercih edilen doğrusal olmayan yöntemler hangileridir?,t-SNE ve UMAP yöntemleri.
PCA (Temel Bileşen Analizi) algoritmasının ilk adımı nedir?,Veriyi merkezlemek (sütun ortalamasını her gözlemden çıkarmak).
PCA'da kovaryans matrisi $C$ hangi matematiksel formülle hesaplanır?,$C = \frac{1}{N} \tilde{X}^T \tilde{X}$ (Burada $\tilde{X}$ merkezlenmiş veridir).
PCA'da kullanılan 'Scree Plot' grafiği neyi belirlemek için kullanılır?,Özdeğerlerin sıralı dizilimindeki 'dirsek' noktasını bularak optimal bileşen sayısını ($k$) seçmek.
PCA'da açıklanan varyans oranı (EVR) nasıl hesaplanır?,$EVR(k) = \frac{\sum_{i=1}^k \lambda_i}{\sum_{i=1}^d \lambda_i}$
Neden PCA uygulanmadan önce verinin standartlaştırılması (z-score scaling) önerilir?,Ölçeği büyük olan değişkenlerin varyans hesaplamasını domine etmesini engellemek için.
LDA (Doğrusal Diskriminant Analizi) ile PCA arasındaki en temel kavramsal fark nedir?,"PCA denetimsiz (etiketsiz) bir yöntemken, LDA sınıfları birbirinden ayırmak için etiketli veri kullanan denetimli bir yöntemdir."
LDA'da maksimum bileşen sayısı ne ile sınırlıdır?,"Sınıf sayısı $K$ olmak üzere, en fazla $K-1$ bileşen üretilebilir."
t-SNE algoritması yüksek boyuttaki benzerlikleri düşük boyuta taşırken hangi olasılık dağılımını kullanır?,t-dağılımı (Student's t-distribution).
UMAP yönteminin t-SNE'ye göre avantajı nedir?,Daha hızlı çalışması ve yeni veri noktalarını mevcut projeksiyona dahil edebilmesidir.
Otoenkodörlerde (Autoencoders) 'Bottleneck' katmanının görevi nedir?,Veriyi en düşük boyutlu (sıkıştırılmış) temsiline ($z$) indirgemek.
Doğrusal olmayan yapıdaki veriler için PCA'nın hangi türevi 'Kernel Trick' kullanarak çalışır?,Kernel PCA (Çekirdek Tabanlı PCA).
Kümeleme (Clustering) analizinin temel amacı nedir?,"Grup içi benzerliği en yüksek, gruplar arası farklılığı en fazla olacak şekilde veriyi alt gruplara ayırmak."
K-Ortalamalar (K-Means) algoritmasında 'Inertia' metriği neyi ifade eder?,Veri noktalarının kendi küme merkezlerine olan uzaklıklarının kareleri toplamını.
Hiyerarşik kümelemede 'Dendrogram' neyi temsil eder?,Veri noktaları arasındaki birleşme hiyerarşisini ve kümeler arasındaki mesafe ilişkilerini.
DBSCAN gibi yoğunluk tabanlı kümeleme algoritmalarının klasik yöntemlere göre en büyük avantajı nedir?,Düzensiz ve karmaşık şekilli kümeleri tespit edebilmeleri ve gürültüyü (aykırı değerleri) ayırt edebilmeleridir.
EM (Expectation-Maximization) algoritması kümeleri nasıl tanımlar?,Veriyi farklı olasılık dağılımlarının (genellikle Gauss) bir bileşimi olarak varsayar ve 'yumuşak' (soft) kümeleme yapar.
Kümeleme analizinde 'Öklid Mesafesi' nasıl tanımlanır?,"İki nokta arasındaki en kısa, doğrusal mesafe."
Manhattan (City-block) mesafesi hangi kurala göre hesaplanır?,Koordinat eksenleri boyunca hareket edilerek hesaplanan mutlak farkların toplamı.
Hiyerarşik kümelemede 'Single Linkage' (Tekli Bağlantı) kuralı nedir?,"İki küme arasındaki mesafeyi, kümelerin birbirine en yakın eleman çifti arasındaki mesafe olarak tanımlar."
SOM (Kendi Kendini Organize Eden Haritalar) sinir ağı mimarisinin temel işlevi nedir?,Yüksek boyutlu veriyi topolojiyi koruyarak düşük boyutlu (genellikle 2D) bir haritaya indirgemek.
